,Pclass,Age,SibSp,Parch,Fare,male
761,3,41.0,0,0,7.125,1
762,3,20.0,0,0,7.2292,1
763,1,36.0,1,2,120.0,0
764,3,16.0,0,0,7.775,1
765,1,51.0,1,0,77.9583,0
766,1,37.0,0,0,39.6,1
767,3,30.5,0,0,7.75,0
768,3,24.0,1,0,24.15,1
769,3,32.0,0,0,8.3625,1
770,3,24.0,0,0,9.5,1
771,3,48.0,0,0,7.8542,1
772,2,57.0,0,0,10.5,0
773,3,24.0,0,0,7.225,1
774,2,54.0,1,3,23.0,0
775,3,18.0,0,0,7.75,1
776,3,24.0,0,0,7.75,1
777,3,5.0,0,0,12.475,0
778,3,24.0,0,0,7.7375,1
779,1,43.0,0,1,211.3375,0
780,3,13.0,0,0,7.2292,0
781,1,17.0,1,0,57.0,0
782,1,29.0,0,0,30.0,1
783,3,24.0,1,2,23.45,1
784,3,25.0,0,0,7.05,1
785,3,25.0,0,0,7.25,1
786,3,18.0,0,0,7.4958,0
787,3,8.0,4,1,29.125,1
788,3,1.0,1,2,20.575,1
789,1,46.0,0,0,79.2,1
790,3,24.0,0,0,7.75,1
791,2,16.0,0,0,26.0,1
792,3,24.0,8,2,69.55,0
793,1,37.0,0,0,30.6958,1
794,3,25.0,0,0,7.8958,1
795,2,39.0,0,0,13.0,1
796,1,49.0,0,0,25.9292,0
797,3,31.0,0,0,8.6833,0
798,3,30.0,0,0,7.2292,1
799,3,30.0,1,1,24.15,0
800,2,34.0,0,0,13.0,1
801,2,31.0,1,1,26.25,0
802,1,11.0,1,2,120.0,1
803,3,0.42,0,1,8.5167,1
804,3,27.0,0,0,6.975,1
805,3,31.0,0,0,7.775,1
806,1,39.0,0,0,0.0,1
807,3,18.0,0,0,7.775,0
808,2,39.0,0,0,13.0,1
809,1,33.0,1,0,53.1,0
810,3,26.0,0,0,7.8875,1
811,3,39.0,0,0,24.15,1
812,2,35.0,0,0,10.5,1
813,3,6.0,4,2,31.275,0
814,3,30.5,0,0,8.05,1
815,1,37.0,0,0,0.0,1
816,3,23.0,0,0,7.925,0
817,2,31.0,1,1,37.0042,1
818,3,43.0,0,0,6.45,1
819,3,10.0,3,2,27.9,1
820,1,52.0,1,1,93.5,0
821,3,27.0,0,0,8.6625,1
822,1,38.0,0,0,0.0,1
823,3,27.0,0,1,12.475,0
824,3,2.0,4,1,39.6875,1
825,3,24.0,0,0,6.95,1
826,3,24.0,0,0,56.4958,1
827,2,1.0,0,2,37.0042,1
828,3,24.0,0,0,7.75,1
829,1,62.0,0,0,80.0,0
830,3,15.0,1,0,14.4542,0
831,2,0.83,1,1,18.75,1
832,3,24.0,0,0,7.2292,1
833,3,23.0,0,0,7.8542,1
834,3,18.0,0,0,8.3,1
835,1,39.0,1,1,83.1583,0
836,3,21.0,0,0,8.6625,1
837,3,24.0,0,0,8.05,1
838,3,32.0,0,0,56.4958,1
839,1,37.0,0,0,29.7,1
840,3,20.0,0,0,7.925,1
841,2,16.0,0,0,10.5,1
842,1,30.0,0,0,31.0,0
843,3,34.5,0,0,6.4375,1
844,3,17.0,0,0,8.6625,1
845,3,42.0,0,0,7.55,1
846,3,24.0,8,2,69.55,1
847,3,35.0,0,0,7.8958,1
848,2,28.0,0,1,33.0,1
849,1,37.0,1,0,89.1042,0
850,3,4.0,4,2,31.275,1
851,3,74.0,0,0,7.775,1
852,3,9.0,1,1,15.2458,0
853,1,16.0,0,1,39.4,0
854,2,44.0,1,0,26.0,0
855,3,18.0,0,1,9.35,0
856,1,45.0,1,1,164.8667,0
857,1,51.0,0,0,26.55,1
858,3,24.0,0,3,19.2583,0
859,3,24.0,0,0,7.2292,1
860,3,41.0,2,0,14.1083,1
861,2,21.0,1,0,11.5,1
862,1,48.0,0,0,25.9292,0
863,3,24.0,8,2,69.55,0
864,2,24.0,0,0,13.0,1
865,2,42.0,0,0,13.0,0
866,2,27.0,1,0,13.8583,0
867,1,31.0,0,0,50.4958,1
868,3,24.0,0,0,9.5,1
869,3,4.0,1,1,11.1333,1
870,3,26.0,0,0,7.8958,1
871,1,47.0,1,1,52.5542,0
872,1,33.0,0,0,5.0,1
873,3,47.0,0,0,9.0,1
874,2,28.0,1,0,24.0,0
875,3,15.0,0,0,7.225,0
876,3,20.0,0,0,9.8458,1
877,3,19.0,0,0,7.8958,1
878,3,24.0,0,0,7.8958,1
879,1,56.0,0,1,83.1583,0
880,2,25.0,0,1,26.0,0
881,3,33.0,0,0,7.8958,1
882,3,22.0,0,0,10.5167,0
883,2,28.0,0,0,10.5,1
884,3,25.0,0,0,7.05,1
885,3,39.0,0,5,29.125,0
886,2,27.0,0,0,13.0,1
887,1,19.0,0,0,30.0,0
888,3,24.0,1,2,23.45,0
889,1,26.0,0,0,30.0,1
890,3,32.0,0,0,7.75,1
